sample_id,cluster,umap_1,umap_2
514,9,14.257538,-1.4555777
515,5,11.052369,-0.9105811
516,10,13.9938135,0.91573036
517,-1,12.765109,-1.3923572
518,0,-4.477437,6.288379
519,9,13.546736,-1.5477202
520,7,-1.5315747,2.9305892
521,0,-3.44079,6.5656476
522,10,13.796092,1.0615847
523,4,9.729211,4.3077717
524,6,1.3998703,4.156401
525,2,11.339359,10.174839
526,0,-4.1150303,6.070163
527,10,13.165801,0.96591014
528,1,8.569452,10.309138
529,6,3.5038414,3.0709913
530,-1,10.775141,5.8502955
531,6,1.3537403,4.7044163
532,-1,0.28554684,4.2428946
533,7,-1.4139144,4.148163
534,6,2.5239506,3.4274433
535,5,11.854017,-1.0469166
536,6,3.3366578,2.8200274
537,10,12.924922,1.4374698
538,3,11.220589,4.4482236
539,1,8.575155,10.28626
540,6,3.368904,2.9288423
541,-1,13.212312,-0.3442723
542,6,3.1149902,2.9411666
543,0,-3.7155006,6.622294
544,10,13.836258,1.7001513
545,6,1.4615188,4.4971304
546,7,-0.9858798,4.078074
547,10,13.923144,1.4513974
548,4,10.198384,4.4900026
549,10,13.916708,1.066836
550,10,13.376218,1.1781119
551,-1,10.835529,1.3175544
552,-1,10.747296,5.8153377
553,7,-0.7501423,4.9629793
554,2,11.173441,10.239352
555,7,-0.6854184,4.854969
556,-1,13.127357,-0.25095698
557,0,-4.403516,5.9205384
558,-1,10.595898,1.5791568
559,7,-1.3324264,2.8376412
560,-1,10.50235,1.4912741
561,7,-1.501808,3.062186
562,1,8.649559,10.219693
563,0,-3.3943942,6.7818813
564,2,12.147818,10.067234
565,4,9.976415,4.4266205
566,9,13.343685,-1.1286111
567,4,9.584752,4.995755
568,2,11.911821,10.0793295
569,5,11.365424,-0.7686976
570,3,11.149992,4.4099083
571,3,11.357241,4.5070796
572,2,12.139573,9.958625
573,4,10.241929,4.60101
574,5,11.355688,-0.74218065
575,10,12.929844,0.9350981
576,6,1.3532184,4.257487
577,10,13.158186,0.3579462
578,0,-3.815398,6.0625844
579,7,-1.208695,2.951102
580,4,9.836386,4.919664
581,6,2.0291047,3.953389
582,2,10.1137905,9.764003
583,8,-0.31958783,2.2093956
584,7,-1.5667351,4.13262
585,0,-4.1898923,5.693626
586,0,-3.5495412,6.8565207
587,0,-4.1966243,6.0840135
588,1,8.439717,10.656098
589,10,13.165189,0.37544808
590,9,13.471548,-1.5412439
591,9,14.308069,-1.4467632
592,10,12.893652,1.6810801
593,7,-1.5120802,2.8805597
594,10,12.317604,1.1743414
595,7,-1.6189604,4.1108823
596,9,13.626288,-1.3699917
